,Name,City,State,School Ownership,Number of Undergraduate Students,Share of Female Students,Share of Male Students,Share of Undergraduates Aged 25 and Above,Average Age of Entry,Admission Rate,Completion Rate,Median Earnings of Students 10 Years After Entry,Median Debt for Students Who Have Completed,Share of Students Who Received a Federal Loan,Median Family Income,Average Cost of Attendance,Average Faculty Salary,Net Tuition Revenue per Student
726,Shawnee State University,Portsmouth,OH,1,3099,0.5309303458,0.4690696542,0.1453,21.0,0.6891,0.2922,34200.0,23000.0,0.854846566,34861.0,19368.0,7208.0,6422
727,Point Loma Nazarene University,San Diego,CA,2,3092,0.6855018587,0.3144981413,0.1535,23.0,0.7629,0.7444,50900.0,22883.5,0.9085501859,59409.0,48040.0,10209.0,21163
728,Francis Marion University,Florence,SC,1,3079,0.6856338028,0.31436619720000003,0.0977,21.0,0.6005,0.3733,33100.0,31000.0,0.8743661972,30782.0,20324.0,7384.0,6410
729,Oral Roberts University,Tulsa,OK,2,3068,0.6058201058,0.3941798942,0.1446,24.0,0.9334,0.5653,37600.0,30402.0,0.917989418,43800.0,39032.0,7435.0,11182
730,SUNY College of Technology at Canton,Canton,NY,1,3067,0.5713580247,0.42864197530000003,0.2541,22.0,0.7859,0.3598,35700.0,20680.0,0.8824691358,35630.0,21263.0,6082.0,4123
731,University of Mount Olive,Mount Olive,NC,2,3061,0.7031403337,0.29685966630000005,0.5865,30.0,0.491,0.4208,39500.0,29150.0,0.8699705594,30171.0,28764.0,7137.0,9893
732,Brazosport College,Lake Jackson,TX,1,3058,0.5902097902,0.4097902098,0.3053,24.0,,0.2081,35000.0,6300.0,0.1062937063,22271.0,10034.0,6816.0,3361
733,Dallas Baptist University,Dallas,TX,2,3053,0.6104868914,0.3895131086,0.2202,24.0,0.3942,0.5786,43200.0,21500.0,0.8524344569,43504.0,37754.0,8205.0,17479
734,University of Redlands,Redlands,CA,2,3042,0.592654424,0.407345576,0.1706,23.0,0.7496,0.7703,55000.0,27000.0,0.918196995,57353.0,63170.0,10094.0,18978
735,Mississippi College,Clinton,MS,2,3041,0.6217257319,0.3782742681,0.1265,22.0,0.3903,0.5919,38300.0,24252.5,0.8613251156,39014.0,30695.0,7297.0,11221
736,Drake University,Des Moines,IA,2,3038,0.6097560976,0.39024390239999995,0.0362,20.0,0.688,0.7906,58300.0,26441.5,0.9364111498,89603.0,49402.0,8956.0,20498
737,St. Joseph's College-Long Island,Patchogue,NY,2,3037,,,0.2243,,0.7077,0.7185,,,,,31248.0,8857.0,17718
738,Charleston Southern University,Charleston,SC,2,3034,0.6288776086,0.37112239140000003,0.1826,22.0,0.5632,0.3484,36900.0,27000.0,0.8877608573,40996.0,36794.0,5770.0,12216
739,Stetson University,DeLand,FL,2,3031,0.6157817109,0.3842182891,0.0316,20.0,0.6783,0.6232,43200.0,27000.0,0.9122418879,52032.0,57961.0,10103.0,19089
740,Hope College,Holland,MI,2,3029,0.5895153314,0.4104846686,0.0121,19.0,0.7363,0.8029,46200.0,27000.0,0.9495548961,92618.0,43717.0,8176.0,19589
741,University of South Carolina-Aiken,Aiken,SC,1,3029,0.6561004785,0.3438995215,0.1544,21.0,0.5294,0.4073,37100.0,25974.0,0.8678229665,38483.0,21905.0,6938.0,6414
742,St Olaf College,Northfield,MN,2,3004,0.5426695842,0.4573304158,0.004,19.0,0.4322,0.8823,50400.0,27000.0,0.95404814,90436.0,56160.0,8726.0,21578
743,Western Nevada College,Carson City,NV,1,3000,0.5855636659,0.4144363341,0.4075,26.0,,0.25,30500.0,13872.0,0.2303325223,20639.0,14584.0,5620.0,2202
744,Clarkson University,Potsdam,NY,2,2991,0.2998554913,0.7001445087,0.0136,19.0,0.6571,0.7294,72000.0,27000.0,0.9696531792,90321.0,63747.0,10756.0,17637
745,Iona College,New Rochelle,NY,2,2989,0.5297699594,0.47023004059999995,0.0138,19.0,0.922,0.6441,56100.0,26000.0,0.899864682,61619.0,49876.0,9462.0,19713
746,Lipscomb University,Nashville,TN,2,2973,0.6469730124,0.35302698759999995,0.1399,23.0,0.6043,0.592,43200.0,20750.5,0.8818380744,47725.0,43623.0,7518.0,19107
747,John Carroll University,University Heights,OH,2,2972,0.4663299663,0.5336700337,0.0205,19.0,0.8503,0.779,53800.0,27000.0,0.9368686869,97381.0,52159.0,8838.0,14308
748,Drury University,Springfield,MO,2,2971,0.6037507562,0.39624924380000004,0.4218,26.0,0.6608,0.5451,32200.0,23000.0,0.7858439201,31973.0,36249.0,6488.0,11023
749,Indiana University-East,Richmond,IN,1,2969,0.6784677887,0.3215322113,0.4292,26.0,0.6966,0.3571,31500.0,19300.5,0.7643644806,35515.0,15452.0,6479.0,6773
750,California Lutheran University,Thousand Oaks,CA,2,2959,0.6172284644,0.3827715356,0.1131,22.0,0.7275,0.708,54200.0,21875.0,0.8838951311,56619.0,55546.0,10005.0,18746
751,Shepherd University,Shepherdstown,WV,1,2956,0.600388601,0.399611399,0.2561,22.0,0.8913,0.4202,39700.0,21966.0,0.835492228,46435.0,16387.0,7113.0,5318
752,Webster University,Saint Louis,MO,2,2954,0.6043878273,0.39561217270000004,0.3051,24.0,0.5356,0.6356,42300.0,23225.5,0.8881811748,41650.0,41764.0,8920.0,16547
753,Lewis-Clark State College,Lewiston,ID,1,2941,0.6354226567,0.3645773433,0.2977,25.0,0.996,0.2778,34600.0,19061.0,0.8217366302,31207.0,15945.0,6060.0,4623
754,Southeastern Oklahoma State University,Durant,OK,1,2937,0.5771626298,0.4228373702,0.2799,24.0,0.724,0.2735,35800.0,15880.0,0.6332179931,32051.0,15351.0,6841.0,5836
755,Saint Xavier University,Chicago,IL,2,2927,0.6649061033,0.3350938967,0.1101,21.0,0.746,0.5241,48200.0,24250.0,0.8603286385,36398.0,38775.0,7252.0,17562
756,Niagara University,Niagara University,NY,2,2902,0.6471910112,0.3528089888,0.1172,20.0,0.842,0.6762,42800.0,25750.0,0.9558052434,65545.0,43832.0,8620.0,12892
757,Seattle Pacific University,Seattle,WA,2,2900,0.6959064327,0.30409356730000003,0.0586,20.0,0.9087,0.6868,49100.0,26162.0,0.9264828739,62276.0,54315.0,8644.0,20395
758,Carroll University,Waukesha,WI,2,2895,0.6638846737,0.33611532629999996,0.0634,20.0,0.7082,0.6581,44200.0,27000.0,0.9385432473,79870.0,42003.0,7462.0,16278
759,Bismarck State College,Bismarck,ND,1,2892,0.4491574666,0.5508425334,0.3171,23.0,,0.4365,44800.0,10500.0,0.822777455,55668.0,13144.0,6120.0,4632
760,School of the Art Institute of Chicago,Chicago,IL,2,2889,0.7221584386,0.27784156140000005,0.0689,21.0,0.6982,0.656,33500.0,26980.0,0.94489093,50784.0,62010.0,10225.0,33356
761,Wesleyan University,Middletown,CT,2,2887,0.5581039755,0.4418960245,0.0366,19.0,0.1629,0.9021,54700.0,16875.0,0.7385321101,60146.0,67527.0,12153.0,30255
762,Northwood University,Midland,MI,2,2880,0.4816608997,0.5183391003,0.4371,26.0,0.6927,0.5542,48900.0,20800.0,0.9017301038,42219.0,38577.0,6308.0,14500
763,Benedictine University,Lisle,IL,2,2864,0.5761067314,0.4238932686,0.1834,23.0,0.6217,0.4981,49000.0,21500.0,0.8878107944,47021.0,42641.0,8210.0,15350
764,East Central University,Ada,OK,1,2860,0.5875743556,0.41242564439999996,0.1801,22.0,0.4802,0.3258,36800.0,16687.5,0.6192994052,35364.0,15324.0,5569.0,5727
765,University of Baltimore,Baltimore,MD,1,2856,0.6104815864,0.38951841359999995,0.5029,27.0,0.8099,0.329,58000.0,20000.0,0.7988668555,28800.0,25951.0,10431.0,11523
766,University of Hawaii at Hilo,Hilo,HI,1,2855,0.6892285298,0.31077147019999996,0.2642,24.0,0.7788,0.4101,37900.0,19834.5,0.6710334789,27504.0,21095.0,9638.0,7931
767,Brigham Young University-Hawaii,Laie,HI,2,2855,0.6020558003,0.39794419969999995,0.2272,21.0,0.3677,0.5602,42200.0,8830.5,0.5800293686,39517.0,17178.0,9271.0,3138
768,Colgate University,Hamilton,NY,2,2854,0.5764966741,0.42350332589999995,0.0035,19.0,0.2814,0.9123,63600.0,16125.0,0.8492239468,76732.0,67290.0,11971.0,31612
769,Tuskegee University,Tuskegee,AL,2,2833,0.6509505703,0.34904942969999997,0.0999,19.0,0.5032,0.5193,35500.0,32500.0,0.944486692,35336.0,36673.0,4753.0,15268
770,University of Illinois at Springfield,Springfield,IL,1,2833,0.5704697987,0.42953020129999997,0.384,25.0,0.5241,0.5021,44600.0,18491.0,0.8404175988,31146.0,23966.0,8173.0,9283
